"Total Unit Area
 Sq. Mt."	Unit No.
41.84	2
41.84	3
41.84	4
41.81	5
136.42	11
131.21	12
56.51	301
42.06	302
42.06	303
42.06	304
42.06	305
42.06	306
53.3	307
53.3	310
42.06	311
42.06	312
42.06	313
42.06	314
42.06	315
56.51	316
42.06	406
52.69	407
42.06	411
42.06	412
42.06	414
56.51	416
52.69	510
42.06	511
42.06	512
42.06	513
42.06	514
42.06	515
56.51	516
56.51	601
42.06	602
42.06	603
42.06	604
42.06	605
42.06	606
53.3	607
109.31	608
109.31	609
53.3	610
42.06	611
42.06	704
42.06	705
42.06	706
52.69	707
124.84	708
124.84	709
42.06	711
42.06	712
42.06	713
42.06	714
42.06	715
56.51	716
56.51	801
42.06	802
42.06	803
42.06	804
42.06	805
42.06	806
124.8	808
124.8	809
109.31	909
53.3	910
